PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Limburg,41100,01OE,01OE59,Yuverta,Heldevierlaan,12,6415 SB,HEERLEN,HEERLEN,Bijzonder,455700888,yuverta.nl/vmboheerlen,VBO/MAVO,Zuid
Limburg,41100,01OE,01OE60,Yuverta,Past van der Steenstraat,5,6031 EB,NEDERWEERT,NEDERWEERT,Bijzonder,495632130,yuverta.nl/mavonederweert,VBO/MAVO,Zuid
Limburg,41203,03XF,03XF00,"Mundium College voor vwo, havo, mavo, vbo en lwoo",Heinsbergerweg,184,6045 CK,ROERMOND,ROERMOND,Bijzonder,475345700,www.roer.college,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,03XF,03XF04,"Mundium College SGM v lyc havo mavo lwoo, locatie Wings",Oranjelaan,300,6043 GL,ROERMOND,ROERMOND,Bijzonder,475345800,www.wingsroermond.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,03XF,03XF05,Mundium College SGM v LYC HAVO MAVO LWOO locatie NT-2,Jagerstraat,2,6042 KA,ROERMOND,ROERMOND,Bijzonder,475453618,www.nt2mundium.nl,BRUGJAAR,Zuid
Limburg,41203,14PS,14PS00,Bisschop College Broekhin voor Lyceum Havo Mavo Vbo,Bob Boumanstraat,30,6042 EH,ROERMOND,ROERMOND,Bijzonder,475346666,www.broekhin.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,14PS,14PS03,Bisschop College Broekhin Reuver voor Lyceum Havo Mavo Vbo - locatie Grescollege,Keulseweg,36,5953 HL,REUVER,BEESEL,Bijzonder,774741802,www.grescollege.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,16PE,16PE00,Connect College voor vwo havo mavo vbo en lwoo,Populierlaan,1,6101 BA,ECHT,ECHT-SUSTEREN,Bijzonder,475416111,www.connectcollege.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,16PE,16PE01,Connect College,Maasbrachterweg,22,6101 XX,ECHT,ECHT-SUSTEREN,Bijzonder,475416113,www.connectcollege.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,17GT,17GT00,Rooms Katholieke Scholengemeenschap St Ursula voor Vwo Havo Vmbo Lwoo,Bergerweg,21,6085 AS,HORN,LEUDAL,Bijzonder,475582121,www.ursula.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41203,17GT,17GT02,Rooms katholieke Scholengemeenschap St Ursula voor Vwo Havo Vmbo Lwoo,Tienderweg,101,6093 EN,HEYTHUYSEN,LEUDAL,Bijzonder,475492088, ,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41211,17HN,17HN02,"Mezzo Scholen voor vwo, havo en vmbo, locatie Mezzo Elzendaal Gennep",Stiemensweg,40,6591 MD,GENNEP,GENNEP,Bijzonder,485511813,www.elzendaalcollege.nl,VBO/MAVO,Zuid
Limburg,41285,02ST,02ST04,Kandinsky College voor Lyc Havo Mavo Vbo Lwoo,Singel,124,6584 BK,MOLENHOEK,MOOK EN MIDDELAAR,Bijzonder,243584186,www.kandinskymolenhoek.nl,VBO/MAVO,Zuid
Limburg,41391,01GL,01GL00,Sophianum Scholengemeenschap in het Heuvelland,Landsraderweg,3,6271 NT,GULPEN,GULPEN-WITTEM,Bijzonder,434505310,www.sophianum.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,02DF,02DF00,Grotiuscollege Stedelijke Scholengemeenschap voor Lyceum Havo Mavo,Akerstraat,117,6417 BM,HEERLEN,HEERLEN,Openbaar,455713952,www.grotius.nl,MAVO/HAVO/VWO,Zuid
Limburg,41391,02DF,02DF01,Grotiuscollege Stedelijke Scholengemeenschap voor Lyceum Havo Mavo,Drieschstraat,1,6412 XX,HEERLEN,HEERLEN,Openbaar, , ,MAVO/HAVO/VWO,Zuid
Limburg,41391,02IB,02IB00,DaCapo College locatie Havikstraat voor Mavo Vbo Lwoo,Havikstraat,5,6135 ED,SITTARD,SITTARD-GELEEN,Bijzonder,467820800,https://dacapokijktnaarmij.nl,VBO/MAVO,Zuid
Limburg,41391,02IB,02IB05,DaCapo College voor Mavo Vmbo Lwoo locatie EOA,Einighauserweg,25,6163 AK,GELEEN,SITTARD-GELEEN,Bijzonder,467820700, ,BRUGJAAR,Zuid
Limburg,41391,02IB,02IB07,DaCapo College voor Mavo Vmbo Lwoo locatie Milaanstraat,Milaanstraat,125,6135 LH,SITTARD,SITTARD-GELEEN,Bijzonder,467820750,https://dacapokijktnaarmij.nl/,VBO/MAVO,Zuid
Limburg,41391,02ZR,02ZR00,Het College voor Lyc Havo Mavo Vbo lwoo,Parklaan,1-A,6006 NT,WEERT,WEERT,Bijzonder,495657740,www.college.nl,VBO/MAVO/HAVO/VWO,Zuid
Limburg,41391,02ZR,02ZR03,Het College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo loc. Het Kwadrant,Thornstraat,7,6004 JP,WEERT,WEERT,Bijzonder,495513666,www.college.nl,VBO/MAVO,Zuid
